,start,end,who_said,line,similar_line,similarity,similarity_category
178,"00:15:37,480","00:15:39,562",Steve Rogers,"Well, they're gonna show up again.","Well, they're going to show up again",0.83,80% - 89%
179,"00:15:39,680","00:15:43,529",Maria Hill,Agreed. File says they volunteered for Strucker's experiments.,File says they volunteered for Strucker's experiments,0.98,90% - 99%
180,"00:15:43,640","00:15:45,529",Maria Hill,It's nuts.,It's nuts,1.0,100%
181,"00:15:43,640","00:15:45,529",Steve Rogers,Right.,Right,1.0,100%
182,"00:15:45,680","00:15:48,843",Steve Rogers,What kind of monster would let a German scientist experiment on them,What kind of monster would let a German scientist experiment on them to protect their country,0.96,90% - 99%
183,"00:15:48,960","00:15:50,200",Steve Rogers,to protect their country?,What kind of monster would let a German scientist experiment on them to protect their country,0.84,80% - 89%
184,"00:15:50,360","00:15:52,089",Maria Hill,"We're not at war, Captain.","We're not at war, Captain",1.0,100%
185,"00:15:52,880","00:15:53,927",Steve Rogers,They are.,They are,1.0,100%
186,"00:16:24,040","00:16:25,371",Bruce Banner,How's he doing?,How's he doing,1.0,100%
187,"00:16:25,480","00:16:26,800",Tony Stark,"Unfortunately, he's still Barton.","Oh, unfortunately, he's still Barton",0.94,90% - 99%
188,"00:16:26,920","00:16:28,206",Bruce Banner,That's terrible.,That's terrible,1.0,100%
189,"00:16:28,360","00:16:29,930",Tony Stark,He's fine. He's thirsty.,He's fine,0.99,90% - 99%
190,"00:16:30,040","00:16:32,930",Tony Stark,"All right. Look alive, Jarvis.","Look alive, JARVIS",0.82,80% - 89%
191,"00:16:30,040","00:16:32,930",Tony Stark,It's playtime.,It's play time,0.95,90% - 99%
192,"00:16:33,040","00:16:37,083",Tony Stark,"We've only got a couple of days with this joystick, so let's make the most of it.",We've only got a couple days with this joystick so let's make the most of it,0.99,90% - 99%
193,"00:16:37,240","00:16:40,767",Tony Stark,Update me on the structural and compositional analysis.,Update me on the structural and compositional analysis,1.0,100%
194,"00:16:41,920","00:16:43,922",JARVIS,The sceptre is alien.,The scepter is alien,0.95,90% - 99%
195,"00:16:44,080","00:16:46,082",JARVIS,There are elements I can't quantify.,There are elements I can't quantify,1.0,100%
196,"00:16:46,200","00:16:47,611",Tony Stark,So there's elements you can?,So there's elements you can,1.0,100%
197,"00:16:47,760","00:16:49,762",JARVIS,The jewel appears to be a protective housing,The jewel appears to be a protective housing for something inside,0.98,90% - 99%
198,"00:16:49,880","00:16:52,771",JARVIS,"for something inside, something powerful.",Something powerful,0.88,80% - 89%
199,"00:16:52,880","00:16:53,961",Tony Stark,Like a reactor?,Like a reactor,1.0,100%
200,"00:16:54,080","00:16:55,320",JARVIS,Like a computer.,Like a computer,1.0,100%
201,"00:16:55,440","00:16:57,602",JARVIS,I believe I'm deciphering code.,I believe I'm deciphering code,1.0,100%
